Producto	Precio	Stock	Categoría	Código de Barras
Levonorgestrel Etinilestradiol 0.15 mg 0.03 Microgynon	850	0	PATENTE	7501303444001
Lidocaina Neomicina Solucion 0.350G 100ML OTILIN	190	0	GENERICO	780083140021
Lidocaina Unguento 5% caja 35 G Alpharma	180	3	GENERICO	7503004908738
Lisinopril C30 Tabletas 10 MG	200	1	GENERICO	7501493888982
Lomotil Loperamida Sobre 2 mg	120	4	PATENTE	7501109922888
Loperamida 2 Mg Lomotil 8 Tabletas	220	0	OTC	7501057002663
Loratadina 10MG 10 Tabletas Laritol Maver	220	3	GENERICO	7502009740435
Loratadina Solucion 100Mg/100Ml Laritol Maver	220	3	GENERICO	7502009740305
Losartan 100 mg 15 Tabletas Punab	320	4	GENERICO	7502240450711
Losartan 50 mg 30 Tabletas Aviva	250	4	GENERICO	7502216803923
LowTiyel Testosterona Gel 14 Sobres	2100	0	PATENTE	7501033957970
Lubricante Prudence Sabor Mora	170	1	Cuidado Personal	7502214980350
Lumboxen Naproxeno, Lidocaina Hombres	280	6	GENERICO	7502009745546
Lumboxen Naproxeno Lidocaina Mujr	190	9	GENERICO	7502009747311
Lysteda Acido Tranexamico 650 mg 30 tabletas	1700	0	GENERICO	7503000883527
Mavidol Sublingual 30 Mg C4 Tabletas	180	7	GENERICO	785120754759
Maxifort 100mg C 10	800	2	GENERICO	7501825302902
Maxifort Sildenafil 50 Mg C10	700	0	GENERICO	7501825302704
Mazanilla Sophia Otica	180	2	Cuidado Personal
Meloxicam 15MG 10 Tabletas Flexiver	190	0	GENERICO	7502009740459
Meloxicam Mavicam 15 mg 10 tabletas	200	9	GENERICO	785120754087
Metamizol Sodico 500MG 10 Tabletas Messelfenil	180	0	GENERICO	7501573901082
Metformina 850 mg c30 tabletas oral	420	4	GENERICO	7503004908776
Metoclopramida 10MG 20 Tabletas Cirulan	160	2	GENERICO	7501075710786
Metoclopramida 10MG C20 Tabletas Botella	160	2	GENERICO	7501563380590
Metronidazol 500mg 30 tabletas	290	4	GENERICO	7501573900542
Modafinilo Modiodal 200 mg 14 Tabletas	1700	3	PATENTE	7501250811352
Modafinilo Modiodal 7 Tabletas 200 mg	1100	2	PATENTE	7501250811369
Montelukast 4mg Masticable c10 tabletas	1100	2	GENERICO	7501299330210
Mupirocina 2.0% 15 Gramos Unguento Serral	420	1	GENERICO	7501258207584
Mupirocina Unguento 2% Dactricare	490	2	GENERICO	7506386100011
Naproxeno/Carisoprodol 250mg/200mg Caridoxen 30 Capsulas	490	0	GENERICO	785120754483
Naproxeno Novaxen 500mg c45	330	1	GENERICO	7501075717075
Naproxeno Sodico 550MG 12 Tabletas Bixen	290	1	GENERICO	7501573908104
Nazil Alivio Ojo Rojo	200	2	Cuidado Personal	736085132069
Nestle Nidal Bebe 2	250	0	Departamento de bebe	7506475106788
Nido Kinder Deslactosado	350	4	Departamento de bebe	7501000911745
Nido Kinder Deslactosado 1,5 kg	500	1	Departamento de bebe	7501058626110
Nineka Neomicina, Caolin Y Pectina	250	6	GENERICO	7501075722253
Niquitin Nicotina Parche Etapa 3 7 mg	800	2	PATENTE	7501109768073
Nitrofurantoina 100MG 40 Capsulas Macrofurin	480	2	GENERICO	785120753349
Nitrofurantoina 100mg c40 BIOFURIN	420	7	GENERICO	7501563310399
Nivea crema corporal Regeneracion intensiva	140	1	Cuidado Personal	4006000152295
Nivea Tono Natural Antitranspirante Roll On	100	0	OTC	4005808630646
NUVIGIL - 150mg c/30	1450	1	PATENTE	7501250811376
Nyquil Z S Difenhidramina c30	700	1	OTC	7500435145497
OFF Family repelente	140	3	OTC	7501032901851
Olds Spice Fresh Desodrante	120	2	Cuidado Personal	7501001163983
Olds Spice Lena Desodrante	120	2	Cuidado Personal	7506339390230
Olds Spice Wolfthorn Desodrante	120	1	Cuidado Personal	7506309839202
Omeprasol 100 Tabletas Alboz 2x1	420	0	GENERICO	780083141936
Omeprazol 20Mg 14 Capsulas Alboz	180	0	GENERICO	780083148348
Omeprazol 20 mg c14 Ultra Lab	180	1	GENERICO	7502216792555
Omeprazol 20mh c120 Capsulas	420	1	GENERICO	7502216792920
Ondasetron 8MG 10 Tabletas Vylkor RAAM	450	4	GENERICO	7502227870716
Ondasetron 8Mg C10 Tabletas	490	0	GENERICO	7501258214414
One Touch Ultra Soft 2	120	3	Cuidado Personal	6945630117121
Orlistat 120 Mg 21 Capsulas Amsafast	400	2	GENERICO	7501349027343
Pantoprazol 40 Mg 14 Tabletas Popram AMSA	280	1	GENERICO	7501349028364
Paracetamol 500 Mg 10 Tabletas Quitadol	180	0	GENERICO	7501573900443
Paracetamol 500 mg C10 Soltadol	180	3	GENERICO	7502209858077
Paracetamol 750 mg C10 Soltadol	180	10	GENERICO	75022098580844
Parche anti mareos c 12 duracion 72 horas	1200	1	Cuidado Personal	760249667586
Parche Hangover c 6 parches	860	0	Cuidado Personal	760249667661
Pepto-Bismol 1.75 g 100ml	200	1	OTC	020800753067
Pepto-Bismol 1.75 g 100ml Diarrea	200	0	GENERICO	7500435154178
Pepto Bismol 236 ml suspension	420	8	Antiácido	020800753050
Pepto-Bismol 24 Tabletas Sabor Cereza	160	0	OTC	7501001353377
Pepto-Bismol 24 Tabletas Sabor Regular	280	5	OTC	7501001258030
Pepto Bismol Cereza 118 ML	200	0	GENERICO	020800756440
Pepto Bismol Masticables c 12 Tabletas	180	0	PATENTE	7500435131834
Pomada Arnica	220	2	OTC	7501358161601
Powerade- 500ml	45	11	Bebidas
Prednisona 20 mg c100	590	9	GENERICO	780083142858
Prednisona 5mg c20 tabletas Norapred	280	0	GENERICO	7501537102388
Prednisona 5 mg Premagnol c20	280	1	GENERICO	7506624901189
Pregabalina 75 Mg 14 Tabletas Bipalver Maver	380	0	GENERICO	7502009745362
Pregabalina 75 mg Capsula Ultra	340	5	GENERICO	7502216799806
Procto Glyvenol Crema	500	0	GENERICO	7501065008336
Protector Solar 50FPS	290	12	Cuidado Personal	7501258209465
Protect Venda Elasticas 5cm 5M	50	3	OTC	7501048693009
Prueba de COVID 19	720	5	OTC	7503013570230
Prueba de Embarazo Clear Blue	700	3	OTC	7506295337454
Prueba de Influenza A/B	900	2	OTC	7503013570582
Puribel 300 Alopurinol 300 Mg 20 Tabletas	280	2	GENERICO	7502208894946
Ratrillo Gillete	50	2	Cuidado Personal	7702018880409
Red Bull	100	6	Bebidas
Relivium LP Tramadol 200 mg c60 tabletas	1200	27	GENERICO	7257427629014
Relivium Tramadol 100mg 60 Tabletas	840	0	OTC	7503044182051
Renu Fresh solución lentes de contacto	250	1	Cuidado Personal	310119033227
Rexona Talco Efficent Original Tripe Accion	80	1	OTC	7506306219922
Rixtal Itraconazol capsulas 100 mg c 15 capsulas	450	2	GENERICO	7501573920182
Robax Gold Metocarbamol/ Ibuprofeno 24 Tabletas	380	2	OTC	7501065062529
Rodillera Elastica Rekord	490	2	OTC	729514000657
Rosel-t 15 Tabletas	200	1	GENERICO	7503003738879
Rosel-t 24 Tabletas	250	1	GENERICO	7503003738404
Saba 28 Protectores DIarios Diarios Delicate	140	0	OTC	7501019068911
Saba Super Plus Toallas	100	1		7501019036422
Salbutamol 100g FARMAREST	250	6	GENERICO	7502213042738
Salbutamol Bresaltec 200 dosis	240	5	GENERICO	7506022327635
Sal de uvas picot c10 sobres	120	3	OTC	7501095451096
Sanzadoll Duo Tramadol, Paracetamol 20 Tabs Sanzadoll	340	4	GENERICO	7502009746215
Sedal Ceramidas Crema Para Peinar 300 Ml	140	1	OTC	7501056340124
Semaglutida 14 MG 30 Tabletas RYBELSUS	8990	0	PATENTE	7503007822918
Semaglutida 3 MG 30 Tabletas RYBELSUS	4600	1	PATENTE	7503007822895
Semaglutida 7 MG 30 Tabletas RYBELSUS	6900	1	PATENTE	7503007822901
Senokot-F Senosidos A-B 30 Tabletas	290	1	OTC	7501065044822
Senokot Senosidos A-B 187Mg	240	4	OTC	7501065013798
Senosidos A-B c20 tabletas	180	4	OTC	7501493860353
Sensibit D NF 12 Tabletas 12 Horas	180	0	OTC	7501299307236
Sertralina Tableta 50 Mg c14 tabletas	490	5	GENERICO	7502003389814
Sico Soft Blue Original	180	1	OTC	7506460101514
Sildenafil 100 Mg 10 Tabletas Edegra	800	1	GENERICO	7501258211345
Sildenafil 100 Mg 20 Tabletas Edegra	1700	17	GENERICO	7501258211352
Sinuberase Esporas Clausil 12 Capsulas	290	0	OTC	7501361606205
Sinuberase Probioticos c48 Comprimidos	490	0	OTC	7501159580014
Soldrin Otico, Hidrocortisona, Cloranfenicol, Benzocaina	350	2	GENERICO	7501125109928
Sol Sun 50+ FPS Creama Facial	300	7	OTC	7502009749063
SOL SUN 50+ SPRAY CORPORAL	280	7	OTC	7502009749353
Sol Sun Protector Solar 100g	290	4	Cuidado Personal	7502009748028
Solutina F Solución Fenitamina, Nafazolina	220	2	Cuidado Personal	75014032
Soviclor Aciclovir Crema 0.05g 1g	150	7	GENERICO	780083141585
Sulfadiazina 1% Argemol Crema	320	1	GENERICO	7502211781615
Sumatriptan 100MG 20 Tabletas Fermig	1200	3	GENERICO	7502227871140
Sunny Care Aceite Bronceador De Coco	390	1	OTC	793969340972
Sunny Care Protector Solar 50 Crema	300	0	OTC	793969341023
